date,swabs
24.02.2020,27350
25.02.2020,30984
26.02.2020,33050
28.02.2020,32885
03.03.2020,42776
04.03.2020,46414
05.03.2020,51366
06.03.2020,55688
08.03.2020,59960
09.03.2020,63191
10.03.2020,66282
10.03.2020,70601
11.03.2020,76963
14.03.2020,94852
14.03.2020,104883
15.03.2020,109939
16.03.2020,116061
17.03.2020,122854
18.03.2020,133101
19.03.2020,143519
20.03.2020,156016
21.03.2020,163529
22.03.2020,165772
23.03.2020,185918
24.03.2020,192824
25.03.2020,197251
26.03.2020,223509
27.03.2020,243377
28.03.2020,263888
30.03.2020,343523
30.03.2020,536669
31.03.2020,536669
01.04.2020,536669
02.04.2020,575000
03.04.2020,639000
04.04.2020,697000
05.04.2020,758000
06.04.2020,795000
07.04.2020,910000
08.04.2020,1000000
09.04.2020,1092811
10.04.2020,1184442
11.04.2020,1278747
12.04.2020,1359993
13.04.2020,1426014
14.04.2020,1517992
15.04.2020,1613413
16.04.2020,1718019
17.04.2020,1831892
18.04.2020,1949813
19.04.2020,2053319
20.04.2020,2142604
21.04.2020,2252539
22.04.2020,2401616
23.04.2020,2552000
24.04.2020,2721500
25.04.2020,2877699
26.04.2020,3019434
27.04.2020,3139258
28.04.2020,3303717
29.04.2020,3498308
30.04.2020,3723807
01.05.2020,3945518